category_code,product_category,cn_codes,allocation,total_yearly_tonnes,mfn_part_tonnes,fta_part_tonnes,q3_jul_sep,q4_oct_dec,q1_jan_mar,q2_apr_jun,additional_duty_rate,order_number
4.A,Metallic Coated Sheets,"7212 50 20 TARIC codes: 7210 41 00 20, 7210 41 00 30, 7210 49 00 20, 7210 49 00 30, 7210 61 00 20, 7210 61 00 30, 7210 69 00 20, 7210 69 00 30, 7212 30 00 20, 7212 30 00 30, 7212 50 61 20, 7212 50 61 30, 7212 50 69 20, 7212 50 69 30, 7225 92 00 20, 7225 92 00 30, 7225 99 00 11, 7225 99 00 22, 7225 99 00 23, 7225 99 00 41, 7225 99 00 45, 7225 99 00 91, 7225 99 00 92, 7225 99 00 93, 7226 99 30 10, 7226 99 30 30, 7226 99 70 11, 7226 99 70 13, 7226 99 70 91, 7226 99 70 93, 7226 99 70 94",Other countries,"133 355,04","133 355,04","0,00","33 338,76","33 338,76","33 338,76","33 338,76",50 %,09.9605
4.A,Metallic Coated Sheets,"7212 50 20 TARIC codes: 7210 41 00 20, 7210 41 00 30, 7210 49 00 20, 7210 49 00 30, 7210 61 00 20, 7210 61 00 30, 7210 69 00 20, 7210 69 00 30, 7212 30 00 20, 7212 30 00 30, 7212 50 61 20, 7212 50 61 30, 7212 50 69 20, 7212 50 69 30, 7225 92 00 20, 7225 92 00 30, 7225 99 00 11, 7225 99 00 22, 7225 99 00 23, 7225 99 00 41, 7225 99 00 45, 7225 99 00 91, 7225 99 00 92, 7225 99 00 93, 7226 99 30 10, 7226 99 30 30, 7226 99 70 11, 7226 99 70 13, 7226 99 70 91, 7226 99 70 93, 7226 99 70 94",FTA Quota – Other countries,"51 045,29","0,00","51 045,29","12 761,32","12 761,32","12 761,32","12 761,32",50 %,09.9714
4.A,Metallic Coated Sheets,"7212 50 20 TARIC codes: 7210 41 00 20, 7210 41 00 30, 7210 49 00 20, 7210 49 00 30, 7210 61 00 20, 7210 61 00 30, 7210 69 00 20, 7210 69 00 30, 7212 30 00 20, 7212 30 00 30, 7212 50 61 20, 7212 50 61 30, 7212 50 69 20, 7212 50 69 30, 7225 92 00 20, 7225 92 00 30, 7225 99 00 11, 7225 99 00 22, 7225 99 00 23, 7225 99 00 41, 7225 99 00 45, 7225 99 00 91, 7225 99 00 92, 7225 99 00 93, 7226 99 30 10, 7226 99 30 30, 7226 99 70 11, 7226 99 70 13, 7226 99 70 91, 7226 99 70 93, 7226 99 70 94",United Kingdom,"46 400,33","0,00","46 400,33","11 600,08","11 600,08","11 600,08","11 600,08",50 %,09.9718
4.A,Metallic Coated Sheets,"7212 50 20 TARIC codes: 7210 41 00 20, 7210 41 00 30, 7210 49 00 20, 7210 49 00 30, 7210 61 00 20, 7210 61 00 30, 7210 69 00 20, 7210 69 00 30, 7212 30 00 20, 7212 30 00 30, 7212 50 61 20, 7212 50 61 30, 7212 50 69 20, 7212 50 69 30, 7225 92 00 20, 7225 92 00 30, 7225 99 00 11, 7225 99 00 22, 7225 99 00 23, 7225 99 00 41, 7225 99 00 45, 7225 99 00 91, 7225 99 00 92, 7225 99 00 93, 7226 99 30 10, 7226 99 30 30, 7226 99 70 11, 7226 99 70 13, 7226 99 70 91, 7226 99 70 93, 7226 99 70 94",Japan,"11 496,86","0,00","11 496,86","2 874,21","2 874,21","2 874,21","2 874,21",50 %,09.9716
4.A,Metallic Coated Sheets,"7212 50 20 TARIC codes: 7210 41 00 20, 7210 41 00 30, 7210 49 00 20, 7210 49 00 30, 7210 61 00 20, 7210 61 00 30, 7210 69 00 20, 7210 69 00 30, 7212 30 00 20, 7212 30 00 30, 7212 50 61 20, 7212 50 61 30, 7212 50 69 20, 7212 50 69 30, 7225 92 00 20, 7225 92 00 30, 7225 99 00 11, 7225 99 00 22, 7225 99 00 23, 7225 99 00 41, 7225 99 00 45, 7225 99 00 91, 7225 99 00 92, 7225 99 00 93, 7226 99 30 10, 7226 99 30 30, 7226 99 70 11, 7226 99 70 13, 7226 99 70 91, 7226 99 70 93, 7226 99 70 94",Egypt,"11 775,30","0,00","11 775,30","2 943,83","2 943,83","2 943,83","2 943,83",50 %,09.9715
4.A,Metallic Coated Sheets,"7212 50 20 TARIC codes: 7210 41 00 20, 7210 41 00 30, 7210 49 00 20, 7210 49 00 30, 7210 61 00 20, 7210 61 00 30, 7210 69 00 20, 7210 69 00 30, 7212 30 00 20, 7212 30 00 30, 7212 50 61 20, 7212 50 61 30, 7212 50 69 20, 7212 50 69 30, 7225 92 00 20, 7225 92 00 30, 7225 99 00 11, 7225 99 00 22, 7225 99 00 23, 7225 99 00 41, 7225 99 00 45, 7225 99 00 91, 7225 99 00 92, 7225 99 00 93, 7226 99 30 10, 7226 99 30 30, 7226 99 70 11, 7226 99 70 13, 7226 99 70 91, 7226 99 70 93, 7226 99 70 94",South Africa,"12 601,38","0,00","12 601,38","3 150,34","3 150,34","3 150,34","3 150,34",50 %,09.9717
4.B,Metallic Coated Sheets,"7210 20 00, 7210 30 00, 7210 90 80, 7212 20 00, 7212 50 30, 7212 50 40, 7212 50 90, 7225 91 00, 7226 99 10 TARIC codes: 7210 41 00 80, 7210 49 00 80, 7210 61 00 80, 7210 69 00 80, 7212 30 00 80, 7212 50 61 80, 7212 50 69 80, 7225 92 00 80, 7225 99 00 25, 7225 99 00 95, 7226 99 30 90, 7226 99 70 19, 7226 99 70 96",Korea,"442 795,45","193 650,20","249 145,25","110 698,86","110 698,86","110 698,86","110 698,86",50 %,09.9837
4.B,Metallic Coated Sheets,"7210 20 00, 7210 30 00, 7210 90 80, 7212 20 00, 7212 50 30, 7212 50 40, 7212 50 90, 7225 91 00, 7226 99 10 TARIC codes: 7210 41 00 80, 7210 49 00 80, 7210 61 00 80, 7210 69 00 80, 7212 30 00 80, 7212 50 61 80, 7212 50 69 80, 7225 92 00 80, 7225 99 00 25, 7225 99 00 95, 7226 99 30 90, 7226 99 70 19, 7226 99 70 96",China,"182 996,85","182 996,85","0,00","45 749,21","45 749,21","45 749,21","45 749,21",50 %,09.9838
4.B,Metallic Coated Sheets,"7210 20 00, 7210 30 00, 7210 90 80, 7212 20 00, 7212 50 30, 7212 50 40, 7212 50 90, 7225 91 00, 7226 99 10 TARIC codes: 7210 41 00 80, 7210 49 00 80, 7210 61 00 80, 7210 69 00 80, 7212 30 00 80, 7212 50 61 80, 7212 50 69 80, 7225 92 00 80, 7225 99 00 25, 7225 99 00 95, 7226 99 30 90, 7226 99 70 19, 7226 99 70 96",United Kingdom,"137 209,33","60 006,52","77 202,81","34 302,33","34 302,33","34 302,33","34 302,33",50 %,09.9839
4.B,Metallic Coated Sheets,"7210 20 00, 7210 30 00, 7210 90 80, 7212 20 00, 7212 50 30, 7212 50 40, 7212 50 90, 7225 91 00, 7226 99 10 TARIC codes: 7210 41 00 80, 7210 49 00 80, 7210 61 00 80, 7210 69 00 80, 7212 30 00 80, 7212 50 61 80, 7212 50 69 80, 7225 92 00 80, 7225 99 00 25, 7225 99 00 95, 7226 99 30 90, 7226 99 70 19, 7226 99 70 96",Türkiye,"104 079,85","45 517,82","58 562,03","26 019,96","26 019,96","26 019,96","26 019,96",50 %,09.9840
4.B,Metallic Coated Sheets,"7210 20 00, 7210 30 00, 7210 90 80, 7212 20 00, 7212 50 30, 7212 50 40, 7212 50 90, 7225 91 00, 7226 99 10 TARIC codes: 7210 41 00 80, 7210 49 00 80, 7210 61 00 80, 7210 69 00 80, 7212 30 00 80, 7212 50 61 80, 7212 50 69 80, 7225 92 00 80, 7225 99 00 25, 7225 99 00 95, 7226 99 30 90, 7226 99 70 19, 7226 99 70 96",India,"102 043,66","44 627,32","57 416,34","25 510,91","25 510,91","25 510,91","25 510,91",50 %,09.9841
4.B,Metallic Coated Sheets,"7210 20 00, 7210 30 00, 7210 90 80, 7212 20 00, 7212 50 30, 7212 50 40, 7212 50 90, 7225 91 00, 7226 99 10 TARIC codes: 7210 41 00 80, 7210 49 00 80, 7210 61 00 80, 7210 69 00 80, 7212 30 00 80, 7212 50 61 80, 7212 50 69 80, 7225 92 00 80, 7225 99 00 25, 7225 99 00 95, 7226 99 30 90, 7226 99 70 19, 7226 99 70 96",FTA Quota – CSQ,"78 057,61","0,00","78 057,61","19 514,40","19 514,40","19 514,40","19 514,40",50 %,09.9506
4.B,Metallic Coated Sheets,"7210 20 00, 7210 30 00, 7210 90 80, 7212 20 00, 7212 50 30, 7212 50 40, 7212 50 90, 7225 91 00, 7226 99 10 TARIC codes: 7210 41 00 80, 7210 49 00 80, 7210 61 00 80, 7210 69 00 80, 7212 30 00 80, 7212 50 61 80, 7212 50 69 80, 7225 92 00 80, 7225 99 00 25, 7225 99 00 95, 7226 99 30 90, 7226 99 70 19, 7226 99 70 96",Other countries,"92 698,72","92 698,72","0,00","23 174,68","23 174,68","23 174,68","23 174,68",50 %,09.9606
4.B,Metallic Coated Sheets,"7210 20 00, 7210 30 00, 7210 90 80, 7212 20 00, 7212 50 30, 7212 50 40, 7212 50 90, 7225 91 00, 7226 99 10 TARIC codes: 7210 41 00 80, 7210 49 00 80, 7210 61 00 80, 7210 69 00 80, 7212 30 00 80, 7212 50 61 80, 7212 50 69 80, 7225 92 00 80, 7225 99 00 25, 7225 99 00 95, 7226 99 30 90, 7226 99 70 19, 7226 99 70 96",FTA Quota – Other countries,"90 340,68","0,00","90 340,68","22 585,17","22 585,17","22 585,17","22 585,17",50 %,09.9719
4.B,Metallic Coated Sheets,"7210 20 00, 7210 30 00, 7210 90 80, 7212 20 00, 7212 50 30, 7212 50 40, 7212 50 90, 7225 91 00, 7226 99 10 TARIC codes: 7210 41 00 80, 7210 49 00 80, 7210 61 00 80, 7210 69 00 80, 7212 30 00 80, 7212 50 61 80, 7212 50 69 80, 7225 92 00 80, 7225 99 00 25, 7225 99 00 95, 7226 99 30 90, 7226 99 70 19, 7226 99 70 96",Egypt,"7 514,81","0,00","7 514,81","1 878,70","1 878,70","1 878,70","1 878,70",50 %,09.9720
4.B,Metallic Coated Sheets,"7210 20 00, 7210 30 00, 7210 90 80, 7212 20 00, 7212 50 30, 7212 50 40, 7212 50 90, 7225 91 00, 7226 99 10 TARIC codes: 7210 41 00 80, 7210 49 00 80, 7210 61 00 80, 7210 69 00 80, 7212 30 00 80, 7212 50 61 80, 7212 50 69 80, 7225 92 00 80, 7225 99 00 25, 7225 99 00 95, 7226 99 30 90, 7226 99 70 19, 7226 99 70 96",Switzerland,"1 257,91","0,00","1 257,91","314,48","314,48","314,48","314,48",50 %,09.9721
5,Organic Coated Sheets,"7210 70 80, 7212 40 80",India,"217 337,73","110 919,33","106 418,39","54 334,43","54 334,43","54 334,43","54 334,43",50 %,09.9842
5,Organic Coated Sheets,"7210 70 80, 7212 40 80",Korea,"167 312,54","85 388,74","81 923,80","41 828,13","41 828,13","41 828,13","41 828,13",50 %,09.9843
5,Organic Coated Sheets,"7210 70 80, 7212 40 80",Viet Nam,"50 423,60","28 527,61","21 896,00","12 605,90","12 605,90","12 605,90","12 605,90",50 %,09.9844
5,Organic Coated Sheets,"7210 70 80, 7212 40 80",Türkiye,"46 275,74","23 617,04","22 658,70","11 568,94","11 568,94","11 568,94","11 568,94",50 %,09.9845
5,Organic Coated Sheets,"7210 70 80, 7212 40 80",Taiwan,"21 289,17","21 289,17","0,00","5 322,29","5 322,29","5 322,29","5 322,29",50 %,09.9846
5,Organic Coated Sheets,"7210 70 80, 7212 40 80",United Kingdom,"31 980,57","16 321,43","15 659,14","7 995,14","7 995,14","7 995,14","7 995,14",50 %,09.9847
5,Organic Coated Sheets,"7210 70 80, 7212 40 80",FTA Quota – CSQ,"50 302,83","0,00","50 302,83","12 575,71","12 575,71","12 575,71","12 575,71",50 %,09.9507
5,Organic Coated Sheets,"7210 70 80, 7212 40 80",Other countries,"27 872,37","27 872,37","0,00","6 968,09","6 968,09","6 968,09","6 968,09",50 %,09.9607
5,Organic Coated Sheets,"7210 70 80, 7212 40 80",FTA Quota – Other countries,"7 750,69","0,00","7 750,69","1 937,67","1 937,67","1 937,67","1 937,67",50 %,09.9722
5,Organic Coated Sheets,"7210 70 80, 7212 40 80",North Macedonia,"7 326,17","0,00","7 326,17","1 831,54","1 831,54","1 831,54","1 831,54",50 %,09.9723
6,Tin Mill products,"7209 18 99, 7210 11 00, 7210 12 20, 7210 12 80, 7210 50 00, 7210 70 10, 7210 90 40, 7212 10 10, 7212 10 90, 7212 40 20",China,"153 408,81","153 408,81","0,00","38 352,20","38 352,20","38 352,20","38 352,20",50 %,09.9848
6,Tin Mill products,"7209 18 99, 7210 11 00, 7210 12 20, 7210 12 80, 7210 50 00, 7210 70 10, 7210 90 40, 7212 10 10, 7212 10 90, 7212 40 20",Serbia,"60 844,23","22 219,84","38 624,39","15 211,06","15 211,06","15 211,06","15 211,06",50 %,09.9849
6,Tin Mill products,"7209 18 99, 7210 11 00, 7210 12 20, 7210 12 80, 7210 50 00, 7210 70 10, 7210 90 40, 7212 10 10, 7212 10 90, 7212 40 20",United Kingdom,"62 472,09","19 689,55","42 782,54","15 618,02","15 618,02","15 618,02","15 618,02",50 %,09.9850
6,Tin Mill products,"7209 18 99, 7210 11 00, 7210 12 20, 7210 12 80, 7210 50 00, 7210 70 10, 7210 90 40, 7212 10 10, 7212 10 90, 7212 40 20",Türkiye,"57 114,10","18 000,86","39 113,25","14 278,53","14 278,53","14 278,53","14 278,53",50 %,09.9851
6,Tin Mill products,"7209 18 99, 7210 11 00, 7210 12 20, 7210 12 80, 7210 50 00, 7210 70 10, 7210 90 40, 7212 10 10, 7212 10 90, 7212 40 20",Korea,"55 521,66","17 498,96","38 022,70","13 880,42","13 880,42","13 880,42","13 880,42",50 %,09.9852
6,Tin Mill products,"7209 18 99, 7210 11 00, 7210 12 20, 7210 12 80, 7210 50 00, 7210 70 10, 7210 90 40, 7212 10 10, 7212 10 90, 7212 40 20",India,"47 009,33","14 816,10","32 193,23","11 752,33","11 752,33","11 752,33","11 752,33",50 %,09.9853
6,Tin Mill products,"7209 18 99, 7210 11 00, 7210 12 20, 7210 12 80, 7210 50 00, 7210 70 10, 7210 90 40, 7212 10 10, 7212 10 90, 7212 40 20",FTA Quota – CSQ,"45 019,43","0,00","45 019,43","11 254,86","11 254,86","11 254,86","11 254,86",50 %,09.9508
6,Tin Mill products,"7209 18 99, 7210 11 00, 7210 12 20, 7210 12 80, 7210 50 00, 7210 70 10, 7210 90 40, 7212 10 10, 7212 10 90, 7212 40 20",Other countries,"25 786,02","25 786,02","0,00","6 446,51","6 446,51","6 446,51","6 446,51",50 %,09.9608
6,Tin Mill products,"7209 18 99, 7210 11 00, 7210 12 20, 7210 12 80, 7210 50 00, 7210 70 10, 7210 90 40, 7212 10 10, 7212 10 90, 7212 40 20",FTA Quota – Other countries,"23 910,96","0,00","23 910,96","5 977,74","5 977,74","5 977,74","5 977,74",50 %,09.9724
6,Tin Mill products,"7209 18 99, 7210 11 00, 7210 12 20, 7210 12 80, 7210 50 00, 7210 70 10, 7210 90 40, 7212 10 10, 7212 10 90, 7212 40 20",Japan,"11 671,54","0,00","11 671,54","2 917,88","2 917,88","2 917,88","2 917,88",50 %,09.9725
6,Tin Mill products,"7209 18 99, 7210 11 00, 7210 12 20, 7210 12 80, 7210 50 00, 7210 70 10, 7210 90 40, 7212 10 10, 7212 10 90, 7212 40 20",Singapore,"82,11","0,00","82,11","20,53","20,53","20,53","20,53",50 %,09.9726
7,Non Alloy and Other Alloy Quarto Plates,"7208 51 20, 7208 51 91, 7208 51 98, 7208 52 91, 7208 90 20, 7208 90 80, 7210 90 30, 7225 40 12, 7225 40 40, 7225 40 60",Korea,"319 670,25","170 160,19","149 510,06","79 917,56","79 917,56","79 917,56","79 917,56",50 %,09.9854
7,Non Alloy and Other Alloy Quarto Plates,"7208 51 20, 7208 51 91, 7208 51 98, 7208 52 91, 7208 90 20, 7208 90 80, 7210 90 30, 7225 40 12, 7225 40 40, 7225 40 60",Indonesia,"212 610,33","113 172,29","99 438,04","53 152,58","53 152,58","53 152,58","53 152,58",50 %,09.9855
7,Non Alloy and Other Alloy Quarto Plates,"7208 51 20, 7208 51 91, 7208 51 98, 7208 52 91, 7208 90 20, 7208 90 80, 7210 90 30, 7225 40 12, 7225 40 40, 7225 40 60",India,"210 838,28","112 229,03","98 609,25","52 709,57","52 709,57","52 709,57","52 709,57",50 %,09.9856
7,Non Alloy and Other Alloy Quarto Plates,"7208 51 20, 7208 51 91, 7208 51 98, 7208 52 91, 7208 90 20, 7208 90 80, 7210 90 30, 7225 40 12, 7225 40 40, 7225 40 60",Japan,"93 176,44","54 715,87","38 460,57","23 294,11","23 294,11","23 294,11","23 294,11",50 %,09.9857
7,Non Alloy and Other Alloy Quarto Plates,"7208 51 20, 7208 51 91, 7208 51 98, 7208 52 91, 7208 90 20, 7208 90 80, 7210 90 30, 7225 40 12, 7225 40 40, 7225 40 60",North Macedonia,"82 687,45","44 014,46","38 673,00","20 671,86","20 671,86","20 671,86","20 671,86",50 %,09.9858
7,Non Alloy and Other Alloy Quarto Plates,"7208 51 20, 7208 51 91, 7208 51 98, 7208 52 91, 7208 90 20, 7208 90 80, 7210 90 30, 7225 40 12, 7225 40 40, 7225 40 60",United Kingdom,"33 139,41","28 840,58","4 298,83","8 284,85","8 284,85","8 284,85","8 284,85",50 %,09.9859
7,Non Alloy and Other Alloy Quarto Plates,"7208 51 20, 7208 51 91, 7208 51 98, 7208 52 91, 7208 90 20, 7208 90 80, 7210 90 30, 7225 40 12, 7225 40 40, 7225 40 60",FTA Quota – CSQ,"90 729,26","0,00","90 729,26","22 682,31","22 682,31","22 682,31","22 682,31",50 %,09.9509
7,Non Alloy and Other Alloy Quarto Plates,"7208 51 20, 7208 51 91, 7208 51 98, 7208 52 91, 7208 90 20, 7208 90 80, 7210 90 30, 7225 40 12, 7225 40 40, 7225 40 60",Other countries,"75 319,07","75 319,07","0,00","18 829,77","18 829,77","18 829,77","18 829,77",50 %,09.9609
7,Non Alloy and Other Alloy Quarto Plates,"7208 51 20, 7208 51 91, 7208 51 98, 7208 52 91, 7208 90 20, 7208 90 80, 7210 90 30, 7225 40 12, 7225 40 40, 7225 40 60",FTA Quota – Other countries,"29 659,87","0,00","29 659,87","7 414,97","7 414,97","7 414,97","7 414,97",50 %,09.9727
7,Non Alloy and Other Alloy Quarto Plates,"7208 51 20, 7208 51 91, 7208 51 98, 7208 52 91, 7208 90 20, 7208 90 80, 7210 90 30, 7225 40 12, 7225 40 40, 7225 40 60",Türkiye,"28 030,85","0,00","28 030,85","7 007,71","7 007,71","7 007,71","7 007,71",50 %,09.9728
7,Non Alloy and Other Alloy Quarto Plates,"7208 51 20, 7208 51 91, 7208 51 98, 7208 52 91, 7208 90 20, 7208 90 80, 7210 90 30, 7225 40 12, 7225 40 40, 7225 40 60",United Kingdom (to Northern Ireland from other parts of the United Kingdom),"21 041,74","0,00","21 041,74","5 260,44","5 260,44","5 260,44","5 260,44",50 %,09.9491
8,Stainless Hot Rolled Sheets and Strips,"7219 11 00, 7219 12 10, 7219 12 90, 7219 13 10, 7219 13 90, 7219 14 10, 7219 14 90, 7219 22 10, 7219 22 90, 7219 23 00, 7219 24 00, 7220 11 00, 7220 12 00",Taiwan,"19 983,84","19 983,84","0,00","4 995,96","4 995,96","4 995,96","4 995,96",50 %,09.9860
8,Stainless Hot Rolled Sheets and Strips,"7219 11 00, 7219 12 10, 7219 12 90, 7219 13 10, 7219 13 90, 7219 14 10, 7219 14 90, 7219 22 10, 7219 22 90, 7219 23 00, 7219 24 00, 7220 11 00, 7220 12 00",Indonesia,"35 842,79","14 813,34","21 029,45","8 960,70","8 960,70","8 960,70","8 960,70",50 %,09.9861
8,Stainless Hot Rolled Sheets and Strips,"7219 11 00, 7219 12 10, 7219 12 90, 7219 13 10, 7219 13 90, 7219 14 10, 7219 14 90, 7219 22 10, 7219 22 90, 7219 23 00, 7219 24 00, 7220 11 00, 7220 12 00",India,"26 019,13","10 753,35","15 265,77","6 504,78","6 504,78","6 504,78","6 504,78",50 %,09.9862
8,Stainless Hot Rolled Sheets and Strips,"7219 11 00, 7219 12 10, 7219 12 90, 7219 13 10, 7219 13 90, 7219 14 10, 7219 14 90, 7219 22 10, 7219 22 90, 7219 23 00, 7219 24 00, 7220 11 00, 7220 12 00",China,"9 515,40","9 515,40","0,00","2 378,85","2 378,85","2 378,85","2 378,85",50 %,09.9863
8,Stainless Hot Rolled Sheets and Strips,"7219 11 00, 7219 12 10, 7219 12 90, 7219 13 10, 7219 13 90, 7219 14 10, 7219 14 90, 7219 22 10, 7219 22 90, 7219 23 00, 7219 24 00, 7220 11 00, 7220 12 00",Korea,"20 735,12","8 569,54","12 165,58","5 183,78","5 183,78","5 183,78","5 183,78",50 %,09.9864
8,Stainless Hot Rolled Sheets and Strips,"7219 11 00, 7219 12 10, 7219 12 90, 7219 13 10, 7219 13 90, 7219 14 10, 7219 14 90, 7219 22 10, 7219 22 90, 7219 23 00, 7219 24 00, 7220 11 00, 7220 12 00",Türkiye,"13 727,15","5 673,24","8 053,90","3 431,79","3 431,79","3 431,79","3 431,79",50 %,09.9865
8,Stainless Hot Rolled Sheets and Strips,"7219 11 00, 7219 12 10, 7219 12 90, 7219 13 10, 7219 13 90, 7219 14 10, 7219 14 90, 7219 22 10, 7219 22 90, 7219 23 00, 7219 24 00, 7220 11 00, 7220 12 00",South Africa,"12 086,55","4 995,21","7 091,35","3 021,64","3 021,64","3 021,64","3 021,64",50 %,09.9866
8,Stainless Hot Rolled Sheets and Strips,"7219 11 00, 7219 12 10, 7219 12 90, 7219 13 10, 7219 13 90, 7219 14 10, 7219 14 90, 7219 22 10, 7219 22 90, 7219 23 00, 7219 24 00, 7220 11 00, 7220 12 00",FTA Quota – CSQ,"11 224,60","0,00","11 224,60","2 806,15","2 806,15","2 806,15","2 806,15",50 %,09.9510
8,Stainless Hot Rolled Sheets and Strips,"7219 11 00, 7219 12 10, 7219 12 90, 7219 13 10, 7219 13 90, 7219 14 10, 7219 14 90, 7219 22 10, 7219 22 90, 7219 23 00, 7219 24 00, 7220 11 00, 7220 12 00",Other countries,"2 289,29","2 289,29","0,00","572,32","572,32","572,32","572,32",50 %,09.9610
8,Stainless Hot Rolled Sheets and Strips,"7219 11 00, 7219 12 10, 7219 12 90, 7219 13 10, 7219 13 90, 7219 14 10, 7219 14 90, 7219 22 10, 7219 22 90, 7219 23 00, 7219 24 00, 7220 11 00, 7220 12 00",FTA Quota – Other countries,"1 709,17","0,00","1 709,17","427,29","427,29","427,29","427,29",50 %,09.9729
8,Stainless Hot Rolled Sheets and Strips,"7219 11 00, 7219 12 10, 7219 12 90, 7219 13 10, 7219 13 90, 7219 14 10, 7219 14 90, 7219 22 10, 7219 22 90, 7219 23 00, 7219 24 00, 7220 11 00, 7220 12 00",United Kingdom (to Northern Ireland from other parts of the United Kingdom),"53,39","0,00","53,39","13,35","13,35","13,35","13,35",50 %,09.9492
9,Stainless Cold Rolled Sheets and Strips,"7219 31 00, 7219 32 10, 7219 32 90, 7219 33 10, 7219 33 90, 7219 34 10, 7219 34 90, 7219 35 10, 7219 35 90, 7219 90 20, 7219 90 80, 7220 20 21, 7220 20 29, 7220 20 41, 7220 20 49, 7220 20 81, 7220 20 89, 7220 90 20, 7220 90 80",Taiwan,"52 984,90","52 984,90","0,00","13 246,22","13 246,22","13 246,22","13 246,22",50 %,09.9867
9,Stainless Cold Rolled Sheets and Strips,"7219 31 00, 7219 32 10, 7219 32 90, 7219 33 10, 7219 33 90, 7219 34 10, 7219 34 90, 7219 35 10, 7219 35 90, 7219 90 20, 7219 90 80, 7220 20 21, 7220 20 29, 7220 20 41, 7220 20 49, 7220 20 81, 7220 20 89, 7220 90 20, 7220 90 80",China,"40 430,95","40 430,95","0,00","10 107,74","10 107,74","10 107,74","10 107,74",50 %,09.9868
9,Stainless Cold Rolled Sheets and Strips,"7219 31 00, 7219 32 10, 7219 32 90, 7219 33 10, 7219 33 90, 7219 34 10, 7219 34 90, 7219 35 10, 7219 35 90, 7219 90 20, 7219 90 80, 7220 20 21, 7220 20 29, 7220 20 41, 7220 20 49, 7220 20 81, 7220 20 89, 7220 90 20, 7220 90 80",Korea,"101 884,16","39 565,05","62 319,11","25 471,04","25 471,04","25 471,04","25 471,04",50 %,09.9869
9,Stainless Cold Rolled Sheets and Strips,"7219 31 00, 7219 32 10, 7219 32 90, 7219 33 10, 7219 33 90, 7219 34 10, 7219 34 90, 7219 35 10, 7219 35 90, 7219 90 20, 7219 90 80, 7220 20 21, 7220 20 29, 7220 20 41, 7220 20 49, 7220 20 81, 7220 20 89, 7220 90 20, 7220 90 80",Türkiye,"69 038,16","26 809,84","42 228,32","17 259,54","17 259,54","17 259,54","17 259,54",50 %,09.9870
9,Stainless Cold Rolled Sheets and Strips,"7219 31 00, 7219 32 10, 7219 32 90, 7219 33 10, 7219 33 90, 7219 34 10, 7219 34 90, 7219 35 10, 7219 35 90, 7219 90 20, 7219 90 80, 7220 20 21, 7220 20 29, 7220 20 41, 7220 20 49, 7220 20 81, 7220 20 89, 7220 90 20, 7220 90 80",South Africa,"52 606,57","20 428,90","32 177,67","13 151,64","13 151,64","13 151,64","13 151,64",50 %,09.9871
9,Stainless Cold Rolled Sheets and Strips,"7219 31 00, 7219 32 10, 7219 32 90, 7219 33 10, 7219 33 90, 7219 34 10, 7219 34 90, 7219 35 10, 7219 35 90, 7219 90 20, 7219 90 80, 7220 20 21, 7220 20 29, 7220 20 41, 7220 20 49, 7220 20 81, 7220 20 89, 7220 90 20, 7220 90 80",Viet Nam,"43 853,32","19 403,40","24 449,92","10 963,33","10 963,33","10 963,33","10 963,33",50 %,09.9872
9,Stainless Cold Rolled Sheets and Strips,"7219 31 00, 7219 32 10, 7219 32 90, 7219 33 10, 7219 33 90, 7219 34 10, 7219 34 90, 7219 35 10, 7219 35 90, 7219 90 20, 7219 90 80, 7220 20 21, 7220 20 29, 7220 20 41, 7220 20 49, 7220 20 81, 7220 20 89, 7220 90 20, 7220 90 80",India,"38 053,78","14 777,56","23 276,22","9 513,44","9 513,44","9 513,44","9 513,44",50 %,09.9873
9,Stainless Cold Rolled Sheets and Strips,"7219 31 00, 7219 32 10, 7219 32 90, 7219 33 10, 7219 33 90, 7219 34 10, 7219 34 90, 7219 35 10, 7219 35 90, 7219 90 20, 7219 90 80, 7220 20 21, 7220 20 29, 7220 20 41, 7220 20 49, 7220 20 81, 7220 20 89, 7220 90 20, 7220 90 80",FTA Quota – CSQ,"39 741,37","0,00","39 741,37","9 935,34","9 935,34","9 935,34","9 935,34",50 %,09.9511
9,Stainless Cold Rolled Sheets and Strips,"7219 31 00, 7219 32 10, 7219 32 90, 7219 33 10, 7219 33 90, 7219 34 10, 7219 34 90, 7219 35 10, 7219 35 90, 7219 90 20, 7219 90 80, 7220 20 21, 7220 20 29, 7220 20 41, 7220 20 49, 7220 20 81, 7220 20 89, 7220 90 20, 7220 90 80",Other countries,"33 770,28","33 770,28","0,00","8 442,57","8 442,57","8 442,57","8 442,57",50 %,09.9611
9,Stainless Cold Rolled Sheets and Strips,"7219 31 00, 7219 32 10, 7219 32 90, 7219 33 10, 7219 33 90, 7219 34 10, 7219 34 90, 7219 35 10, 7219 35 90, 7219 90 20, 7219 90 80, 7220 20 21, 7220 20 29, 7220 20 41, 7220 20 49, 7220 20 81, 7220 20 89, 7220 90 20, 7220 90 80",FTA Quota – Other countries,"22 217,01","0,00","22 217,01","5 554,25","5 554,25","5 554,25","5 554,25",50 %,09.9730
