date,region,order_number,quota_category,country,quota_limit_t,quota_allocated_t,pct_allocated,balance_remaining_t,pct_remaining,awaiting_allocation_t,validity_start,validity_end,status,scrape_status
2026-07-06,EU,099740,Non Alloy and Other Alloy Wire Rod - 16,Korea,2833.69,0.0,0.0,2833.69,100.0,,,,,ok
2026-07-06,EU,099741,Non Alloy and Other Alloy Wire Rod - 16,Japan,1323.5,258.48,19.53,1065.03,80.47,,,,,ok
2026-07-06,EU,099742,"Angles, Shapes and Sections of Iron or Non Alloy Steel - 17",FTA Quota – Other countries,1073.81,0.0,0.0,1073.81,100.0,,,,,ok
2026-07-06,EU,099743,"Angles, Shapes and Sections of Iron or Non Alloy Steel - 17",Korea,1251.71,0.0,0.0,1251.71,100.0,,,,,ok
2026-07-06,EU,099744,Sheet Piling - 18,FTA Quota – Other countries,1445.52,1.58,0.11,1443.94,99.89,,,,,ok
2026-07-06,EU,099745,Railway Material - 19,FTA Quota – Other countries,152.35,0.0,0.0,152.35,100.0,,,,,ok
2026-07-06,EU,099746,Gas Pipes - 20,FTA Quota – Other countries,1731.37,29.58,1.71,1701.79,98.29,,,,,ok
2026-07-06,EU,099747,Hollow Sections - 21,FTA Quota – Other countries,5149.92,1196.34,23.23,3953.58,76.77,,,,,ok
2026-07-06,EU,099748,Hollow Sections - 21,Switzerland,705.94,31.67,4.49,674.27,95.51,,,,,ok
2026-07-06,EU,099749,Seamless Stainless Tubes and Pipes - 22,FTA Quota – Other countries,446.75,24.16,5.41,422.59,94.59,,,,,ok
2026-07-06,EU,099750,Seamless Stainless Tubes and Pipes - 22,Japan,178.57,178.57,100.0,0.0,0.0,,,,,ok
2026-07-06,EU,099751,Other Seamless Tubes - 24,FTA Quota – Other countries,11895.7,1067.96,8.98,10827.74,91.02,,,,,ok
2026-07-06,EU,099752,Other Seamless Tubes - 24,Argentina,1258.1,6.32,0.5,1251.78,99.5,,,,,ok
2026-07-06,EU,099753,Other Seamless Tubes - 24,Singapore,110.77,0.04,0.03,110.73,99.97,,,,,ok
2026-07-06,EU,099754,Large welded tubes - 25.A,FTA Quota – Other countries,584.19,0.0,0.0,584.19,100.0,,,,,ok
2026-07-06,EU,099755,Large welded tubes - 25.B,FTA Quota – Other countries,1436.41,0.2,0.01,1436.2,99.99,,,,,ok
2026-07-06,EU,099756,Large welded tubes - 25.B,Singapore,21.07,0.0,0.0,21.07,100.0,,,,,ok
2026-07-06,EU,099757,Other Welded Pipes - 26,FTA Quota – Other countries,4282.85,364.67,8.51,3918.18,91.49,,,,,ok
2026-07-06,EU,099758,Other Welded Pipes - 26,Singapore,11.18,1.59,14.24,9.59,85.76,,,,,ok
2026-07-06,EU,099759,Non-alloy and other alloy cold finished bars - 27,FTA Quota – Other countries,2222.43,0.45,0.02,2221.98,99.98,,,,,ok
2026-07-06,EU,099760,Non Alloy Wire - 28,FTA Quota – Other countries,8489.22,12.45,0.15,8476.77,99.85,,,,,ok
2026-07-06,EU,099801,Non Alloy and Other Alloy Hot Rolled Sheets and Strips - 1.A,Türkiye,160573.74,160573.74,100.0,0.0,0.0,,,,,ok
2026-07-06,EU,099802,Non Alloy and Other Alloy Hot Rolled Sheets and Strips - 1.A,Japan,137884.78,0.64,0.0,137884.14,100.0,,,,,ok
2026-07-06,EU,099803,Non Alloy and Other Alloy Hot Rolled Sheets and Strips - 1.A,India,149318.61,101924.69,68.26,47393.92,31.74,,,,,ok
2026-07-06,EU,099804,Non Alloy and Other Alloy Hot Rolled Sheets and Strips - 1.A,Taiwan,69730.64,1957.45,2.81,67773.19,97.19,,,,,ok
2026-07-06,EU,099805,Non Alloy and Other Alloy Hot Rolled Sheets and Strips - 1.A,Ukraine,120882.35,13454.81,11.13,107427.54,88.87,,,,,ok
2026-07-06,EU,099806,Non Alloy and Other Alloy Hot Rolled Sheets and Strips - 1.A,Korea,115457.52,15918.51,13.79,99539.01,86.21,,,,,ok
2026-07-06,EU,099807,Non Alloy and Other Alloy Hot Rolled Sheets and Strips - 1.A,Viet Nam,103743.08,20219.69,19.49,83523.4,80.51,,,,,ok
2026-07-06,EU,099808,Non Alloy and Other Alloy Hot Rolled Sheets and Strips - 1.A,Egypt,101232.21,1827.71,1.81,99404.49,98.19,,,,,ok
2026-07-06,EU,099809,Non Alloy and Other Alloy Hot Rolled Sheets and Strips - 1.A,Serbia,64523.65,1088.82,1.69,63434.83,98.31,,,,,ok
2026-07-06,EU,099810,Non Alloy and Other Alloy Hot Rolled Sheets and Strips - 1.A,Australia,11830.05,0.0,0.0,11830.05,100.0,,,,,ok
2026-07-06,EU,099811,Non Alloy and Other Alloy Hot Rolled Sheets and Strips - 1.A,Saudi Arabia,9545.08,0.0,0.0,9545.08,100.0,,,,,ok
2026-07-06,EU,099812,Non Alloy and Other Alloy Hot Rolled Sheets and Strips - 1.A,Kazakhstan,2377.67,0.0,0.0,2377.67,100.0,,,,,ok
2026-07-06,EU,099813,Non Alloy and Other Alloy Hot Rolled Sheets and Strips - 1.B,United Kingdom,526.03,25.31,4.81,500.72,95.19,,,,,ok
2026-07-06,EU,099814,Non Alloy and Other Alloy Hot Rolled Sheets and Strips - 1.B,United States,127.34,83.66,65.7,43.68,34.3,,,,,ok
2026-07-06,EU,099815,Non Alloy and Other Alloy Hot Rolled Sheets and Strips - 1.B,Japan,243.93,7.41,3.04,236.52,96.96,,,,,ok
2026-07-06,EU,099816,Non Alloy and Other Alloy Hot Rolled Sheets and Strips - 1.B,China,35.59,0.0,0.0,35.59,100.0,,,,,ok
2026-07-06,EU,099817,Non Alloy and Other Alloy Cold Rolled Sheets - 2,Taiwan,33586.54,19.8,0.06,33566.74,99.94,,,,,ok
2026-07-06,EU,099818,Non Alloy and Other Alloy Cold Rolled Sheets - 2,India,67493.58,2176.23,3.22,65317.35,96.78,,,,,ok
2026-07-06,EU,099819,Non Alloy and Other Alloy Cold Rolled Sheets - 2,Korea,63652.67,23511.08,36.94,40141.59,63.06,,,,,ok
2026-07-06,EU,099820,Non Alloy and Other Alloy Cold Rolled Sheets - 2,Türkiye,60152.91,17956.34,29.85,42196.57,70.15,,,,,ok
2026-07-06,EU,099821,Non Alloy and Other Alloy Cold Rolled Sheets - 2,United Kingdom,19834.63,22.61,0.11,19812.02,99.89,,,,,ok
2026-07-06,EU,099822,Non Alloy and Other Alloy Cold Rolled Sheets - 2,Japan,29457.81,62.05,0.21,29395.76,99.79,,,,,ok
2026-07-06,EU,099823,Non Alloy and Other Alloy Cold Rolled Sheets - 2,Ukraine,26549.48,1711.09,6.44,24838.4,93.56,,,,,ok
2026-07-06,EU,099824,Electrical Sheets (other than GOES) - 3.A,Japan,77.95,0.0,0.0,77.95,100.0,,,,,ok
2026-07-06,EU,099825,Electrical Sheets (other than GOES) - 3.A,United Kingdom,19.56,0.0,0.0,19.56,100.0,,,,,ok
2026-07-06,EU,099826,Electrical Sheets (other than GOES) - 3.A,China,4.98,0.0,0.0,4.98,100.0,,,,,ok
2026-07-06,EU,099827,Electrical Sheets (other than GOES) - 3.A,Türkiye,8.69,0.0,0.0,8.69,100.0,,,,,ok
2026-07-06,EU,099828,Electrical Sheets (other than GOES) - 3.B,China,11837.81,11837.81,100.0,0.0,0.0,,,,,ok
2026-07-06,EU,099829,Electrical Sheets (other than GOES) - 3.B,Taiwan,5166.66,0.0,0.0,5166.66,100.0,,,,,ok
2026-07-06,EU,099830,Electrical Sheets (other than GOES) - 3.B,Korea,15495.38,16.98,0.11,15478.4,99.89,,,,,ok
2026-07-06,EU,099831,Electrical Sheets (other than GOES) - 3.B,Viet Nam,6925.39,0.0,0.0,6925.39,100.0,,,,,ok
2026-07-06,EU,099832,Metallic Coated Sheets - 4.A,Viet Nam,117496.92,15271.57,13.0,102225.35,87.0,,,,,ok
2026-07-06,EU,099833,Metallic Coated Sheets - 4.A,Taiwan,33783.39,17016.88,50.37,16766.51,49.63,,,,,ok
2026-07-06,EU,099834,Metallic Coated Sheets - 4.A,Türkiye,63925.33,63925.33,100.0,0.0,0.0,,,,,ok
2026-07-06,EU,099835,Metallic Coated Sheets - 4.A,India,58295.85,223.45,0.38,58072.4,99.62,,,,,ok
2026-07-06,EU,099836,Metallic Coated Sheets - 4.A,Korea,26119.93,10595.37,40.56,15524.56,59.44,,,,,ok
2026-07-06,EU,099837,Metallic Coated Sheets - 4.B,Korea,110698.86,38591.47,34.86,72107.39,65.14,,,,,ok
2026-07-06,EU,099838,Metallic Coated Sheets - 4.B,China,45749.21,45749.21,100.0,0.0,0.0,,,,,ok
2026-07-06,EU,099839,Metallic Coated Sheets - 4.B,United Kingdom,34302.33,148.63,0.43,34153.7,99.57,,,,,ok
2026-07-06,EU,099840,Metallic Coated Sheets - 4.B,Türkiye,26019.96,26019.96,100.0,0.0,0.0,,,,,ok
2026-07-06,EU,099841,Metallic Coated Sheets - 4.B,India,25510.91,280.06,1.1,25230.85,98.9,,,,,ok
2026-07-06,EU,099842,Organic Coated Sheets - 5,India,54334.43,40035.71,73.68,14298.72,26.32,,,,,ok
2026-07-06,EU,099843,Organic Coated Sheets - 5,Korea,41828.13,41828.13,100.0,0.0,0.0,,,,,ok
2026-07-06,EU,099844,Organic Coated Sheets - 5,Viet Nam,12605.9,7101.45,56.33,5504.45,43.67,,,,,ok
2026-07-06,EU,099845,Organic Coated Sheets - 5,Türkiye,11568.94,11568.94,100.0,0.0,0.0,,,,,ok
2026-07-06,EU,099846,Organic Coated Sheets - 5,Taiwan,5322.29,3559.53,66.88,1762.77,33.12,,,,,ok
2026-07-06,EU,099847,Organic Coated Sheets - 5,United Kingdom,7995.14,238.35,2.98,7756.78,97.02,,,,,ok
2026-07-06,EU,099848,Tin Mill products - 6,China,38352.2,1211.45,3.16,37140.75,96.84,,,,,ok
2026-07-06,EU,099849,Tin Mill products - 6,Serbia,15211.06,434.98,2.86,14776.08,97.14,,,,,ok
2026-07-06,EU,099850,Tin Mill products - 6,United Kingdom,15618.02,1044.43,6.69,14573.59,93.31,,,,,ok
2026-07-06,EU,099851,Tin Mill products - 6,Türkiye,14278.53,2441.76,17.1,11836.77,82.9,,,,,ok
2026-07-06,EU,099852,Tin Mill products - 6,Korea,13880.42,4963.14,35.76,8917.28,64.24,,,,,ok
2026-07-06,EU,099853,Tin Mill products - 6,India,11752.33,4971.13,42.3,6781.2,57.7,,,,,ok
2026-07-06,EU,099854,Non Alloy and Other Alloy Quarto Plates - 7,Korea,79917.56,47471.53,59.4,32446.03,40.6,,,,,ok
2026-07-06,EU,099855,Non Alloy and Other Alloy Quarto Plates - 7,Indonesia,53152.58,6223.67,11.71,46928.91,88.29,,,,,ok
2026-07-06,EU,099856,Non Alloy and Other Alloy Quarto Plates - 7,India,52709.57,3.14,0.01,52706.43,99.99,,,,,ok
2026-07-06,EU,099857,Non Alloy and Other Alloy Quarto Plates - 7,Japan,23294.11,0.0,0.0,23294.11,100.0,,,,,ok
2026-07-06,EU,099858,Non Alloy and Other Alloy Quarto Plates - 7,North Macedonia,20671.86,1456.47,7.05,19215.39,92.95,,,,,ok
2026-07-06,EU,099859,Non Alloy and Other Alloy Quarto Plates - 7,United Kingdom,8284.85,639.61,7.72,7645.24,92.28,,,,,ok
2026-07-06,EU,099860,Stainless Hot Rolled Sheets and Strips - 8,Taiwan,4995.96,0.0,0.0,4995.96,100.0,,,,,ok
2026-07-06,EU,099861,Stainless Hot Rolled Sheets and Strips - 8,Indonesia,8960.7,0.0,0.0,8960.7,100.0,,,,,ok
2026-07-06,EU,099862,Stainless Hot Rolled Sheets and Strips - 8,India,6504.78,762.52,11.72,5742.26,88.28,,,,,ok
2026-07-06,EU,099863,Stainless Hot Rolled Sheets and Strips - 8,China,2378.85,0.6,0.03,2378.25,99.97,,,,,ok
2026-07-06,EU,099864,Stainless Hot Rolled Sheets and Strips - 8,Korea,5183.78,0.18,0.0,5183.6,100.0,,,,,ok
2026-07-06,EU,099865,Stainless Hot Rolled Sheets and Strips - 8,Türkiye,3431.79,1.05,0.03,3430.74,99.97,,,,,ok
2026-07-06,EU,099866,Stainless Hot Rolled Sheets and Strips - 8,South Africa,3021.64,296.37,9.81,2725.27,90.19,,,,,ok
